Word,Plays,AvgScorePerPlay,AvgScorePerGame,WinRate
FANJET,40907,40.19,0.03307147,0.4880
LOUN,66591,24.69,0.03306817,0.4515
OPAS,36244,45.35,0.03306383,0.5190
GOWL,63599,25.85,0.03306230,0.4698
RIP,75759,21.69,0.03305655,0.4473
KIDS,34818,47.19,0.03305148,0.5234
INJERAS,21167,77.62,0.03304810,0.5972
DEAERATE,23104,71.11,0.03304645,0.5677
TRAINEES,21506,76.35,0.03302851,0.5597
FORA,49756,33.00,0.03302650,0.4812
COESITE,21825,75.19,0.03300849,0.5983
GYBE,53703,30.55,0.03299775,0.4947
CHAO,48921,33.53,0.03299586,0.4906
DALT,69042,23.76,0.03299355,0.4561
ZABRA,33204,49.40,0.03298925,0.5374
NETT,74886,21.90,0.03298599,0.4439
STONIER,21171,77.45,0.03297923,0.5653
BARE,48108,34.08,0.03297382,0.4837
GIZMO,39465,41.54,0.03297138,0.5135
OILIEST,22905,71.56,0.03296591,0.5821
ASHY,39165,41.82,0.03294367,0.5219
TROW,55780,29.35,0.03293341,0.4593
ABUT,53109,30.83,0.03293166,0.4704
NEED,52849,30.98,0.03293104,0.4729
GAWPS,32396,50.54,0.03293017,0.5376
OXES,36738,44.55,0.03291887,0.5183
WHOOF,42527,38.48,0.03291669,0.5127
VOLED,53917,30.35,0.03291205,0.4763
BEGS,40542,40.35,0.03290601,0.5102
WHOW,47561,34.40,0.03290515,0.4966
THELF,48262,33.89,0.03289924,0.4908
TOLERATE,23511,69.56,0.03289570,0.5582
TYGS,40410,40.47,0.03289552,0.5140
HYPE,39650,41.24,0.03289270,0.5110
ANDESITE,21210,77.09,0.03288970,0.5674
BOWED,48295,33.84,0.03287419,0.4904
DEET,54868,29.78,0.03286858,0.4630
OMEGA,54663,29.89,0.03286396,0.4640
DOGEY,45947,35.56,0.03286339,0.4992
MOBY,44765,36.50,0.03286257,0.5108
TOLIDINE,23531,69.42,0.03285686,0.5726
EXECS,29320,55.71,0.03285476,0.5439
FOWTH,44652,36.57,0.03284620,0.5014
THIONATE,21871,74.65,0.03284137,0.5863
OVOLO,79467,20.54,0.03282735,0.4354
OILSEED,21820,74.80,0.03282644,0.6044
CHAY,40635,40.16,0.03282514,0.5087
KOEL,48237,33.82,0.03281755,0.4807
ANOINTER,22950,71.09,0.03281407,0.5564
DEXIE,44781,36.43,0.03280987,0.4859
HOARIEST,21801,74.80,0.03280040,0.5724
TIER,55968,29.12,0.03278587,0.4615
TAIT,56234,28.98,0.03278290,0.4624
REIK,42920,37.97,0.03277914,0.4882
WIRRA,61529,26.48,0.03277485,0.4489
LOUD,53969,30.19,0.03276970,0.4740
CONE,53925,30.21,0.03276202,0.4622
MAGE,46453,35.06,0.03276103,0.4890
JAPES,32150,50.65,0.03275502,0.5326
BOON,55937,29.10,0.03274319,0.4661
DOTY,48027,33.89,0.03273794,0.4922
BINDI,53785,30.24,0.03271938,0.4693
ANTIMERE,20683,78.64,0.03271525,0.5768
TOENAILS,22367,72.70,0.03270852,0.5680
VRAIC,55241,29.44,0.03270707,0.4557
PAID,52025,31.25,0.03270544,0.4664
VOULU,86772,18.74,0.03270443,0.4300
EXEEM,35740,45.47,0.03268706,0.5226
VASTY,42116,38.59,0.03268629,0.5005
VIOLATER,23021,70.58,0.03268090,0.5708
PEON,54001,30.09,0.03268072,0.4631
HYRAX,32760,49.59,0.03267557,0.5485
KIBE,45194,35.94,0.03267102,0.4856
AVAUNT,45025,36.07,0.03266596,0.4851
OCREATE,23519,69.01,0.03264723,0.5652
HOVER,46167,35.15,0.03263615,0.4832
AGISTED,21054,77.06,0.03263492,0.6083
TAXON,41847,38.77,0.03263136,0.4915
NIMB,62905,25.79,0.03262766,0.4574
SITUATE,22517,72.01,0.03261342,0.5692
VERATRIN,21813,74.32,0.03260604,0.5547
JERIDS,31021,52.25,0.03260222,0.5284
VODDY,51281,31.61,0.03260014,0.4876
FOAL,52300,30.99,0.03259769,0.4805
SNYE,38432,42.16,0.03259371,0.5100
HYENA,40177,40.33,0.03258960,0.5145
INTERNS,22323,72.58,0.03258828,0.5445
ELOINED,24293,66.66,0.03257412,0.5803
LEANERS,22128,73.18,0.03257263,0.5778
IDOLATER,22069,73.36,0.03256219,0.5843
DWELT,59285,27.31,0.03256114,0.4613
DOULEIAS,23248,69.63,0.03255867,0.5839
EBONITE,24118,67.12,0.03255784,0.5735
WASE,42266,38.28,0.03254364,0.4945
DOAT,56423,28.67,0.03254169,0.4563
JOULED,41230,39.24,0.03254165,0.5002
ATONE,62419,25.91,0.03253518,0.4281
TRENISE,21095,76.66,0.03252653,0.5594
IFFY,42877,37.71,0.03252588,0.5104
OUTASITE,23515,68.76,0.03252405,0.5569
AFRO,50515,32.01,0.03252267,0.4777
CIMEX,34847,46.38,0.03250857,0.5260
KAVAL,46058,35.08,0.03250008,0.4890
ALOED,58623,27.54,0.03247825,0.4685
CIVET,57072,28.29,0.03247007,0.4456
KNUT,53268,30.30,0.03246460,0.4746
VOILE,61047,26.44,0.03246152,0.4583
DHAK,41569,38.82,0.03246011,0.5148
EJIDOS,30830,52.34,0.03245890,0.5394
LOWN,57495,28.06,0.03245424,0.4674
GYTE,53595,30.10,0.03245281,0.4787
PIANO,57515,28.05,0.03244981,0.4559
VIPER,53073,30.39,0.03244499,0.4570
KADE,41629,38.75,0.03244265,0.5013
IBOGAINE,22166,72.76,0.03244004,0.5994
SERRATI,21494,75.03,0.03243911,0.5654
DEASOIL,20653,78.07,0.03243254,0.6166
ZOUKS,29038,55.51,0.03242356,0.5549
AURATES,22320,72.21,0.03241729,0.5752
PINY,46531,34.63,0.03241369,0.4931
PAYEE,47939,33.61,0.03240792,0.4798
DEWS,35376,45.54,0.03240556,0.5224
ONIONIER,24242,66.45,0.03239979,0.5616
RETIRANT,22759,70.77,0.03239482,0.5350
WAFER,44473,36.21,0.03239289,0.4855
ELUVIATE,22000,73.20,0.03239283,0.5924
DOLERITE,21954,73.36,0.03239267,0.5825
HAIL,50617,31.81,0.03238428,0.4684
ATOPIES,20884,77.08,0.03237921,0.5857
HETH,42804,37.61,0.03237885,0.4953
MOINEAUS,22968,70.09,0.03237793,0.5745
CHIB,48118,33.45,0.03237706,0.4906
LINN,96852,16.62,0.03237684,0.4354
BAWDY,42090,38.24,0.03237374,0.5070
JERQUE,31961,50.35,0.03236952,0.5089
WEIRD,45992,34.98,0.03236266,0.4785
MOKE,46299,34.74,0.03235578,0.4880
CHIVED,39605,40.61,0.03235363,0.4999
ROC,68079,23.61,0.03232792,0.4592
DOIT,68325,23.52,0.03232066,0.4412
SHEN,39555,40.62,0.03231927,0.5045
AGAS,37347,43.02,0.03231734,0.5095
DYER,45681,35.17,0.03231503,0.4881
LOUT,58636,27.40,0.03231227,0.4625
POWND,51570,31.15,0.03230986,0.4823
AZOTISE,17618,91.17,0.03230813,0.6505
WIST,45238,35.50,0.03230523,0.4739
AVAS,39051,41.13,0.03230236,0.5104
FATWA,47174,34.04,0.03230061,0.4921
YEXED,36691,43.76,0.03229313,0.5278
KETA,43811,36.64,0.03228621,0.4927
HEARE,48643,33.00,0.03228506,0.4667
HEXER,38097,42.13,0.03227985,0.5115
AGENE,52758,30.41,0.03227380,0.4619
GAID,57146,28.07,0.03226714,0.4558
VOLTE,50855,31.54,0.03226100,0.4840
ATHERINE,20078,79.87,0.03225441,0.5828
ACOEMETI,21179,75.71,0.03225179,0.6062
CAPO,48481,33.07,0.03224950,0.4796
LINEAGE,23434,68.41,0.03224546,0.5709
BUIK,53097,30.19,0.03224447,0.4819
VIVID,60500,26.50,0.03224409,0.4484
ULYIE,69151,23.18,0.03224377,0.4388
MOOVE,53917,29.72,0.03223303,0.4665
CRED,61492,26.06,0.03222904,0.4444
ROQUES,30902,51.83,0.03221794,0.5369
LOTI,68275,23.46,0.03221537,0.4412
STAINER,20117,79.61,0.03221142,0.5657
SANDIER,20109,79.63,0.03220973,0.5998
KEET,46583,34.38,0.03220937,0.4690
OFLAG,48048,33.32,0.03219771,0.4965
SEDATION,20585,77.73,0.03218461,0.5872
YODEL,43828,36.50,0.03217966,0.4883
LENTIGO,23264,68.77,0.03217846,0.5820
EPEIRAS,20871,76.64,0.03217156,0.5938
DELETION,22112,72.33,0.03217097,0.5787
THAE,45853,34.88,0.03216975,0.4836
TUFT,74660,21.42,0.03216601,0.4517
JAGGY,38494,41.53,0.03215760,0.5242
DOBY,45287,35.30,0.03215199,0.5035
JURAL,43739,36.54,0.03214571,0.5024
HERBY,40064,39.89,0.03214346,0.5180
NEOTERIC,21220,75.31,0.03214231,0.5695
ONSTAGE,20712,77.14,0.03213738,0.6123
GIDS,38727,41.26,0.03213652,0.5092
CROW,50714,31.50,0.03213431,0.4680
SQUAIL,28691,55.68,0.03213322,0.5440
YAGIS,32494,49.16,0.03213314,0.5336
TENORINO,23335,68.46,0.03213095,0.5506
GONZO,36938,43.24,0.03212833,0.5141
UTUS,40100,39.83,0.03212715,0.4939
WERT,58610,27.25,0.03212572,0.4445
ARANEOUS,23413,68.20,0.03211918,0.5627
DICT,70864,22.53,0.03211777,0.4373
KNIFE,40656,39.27,0.03211152,0.5059
AGNISED,20357,78.42,0.03211108,0.6041
KNAG,45275,35.25,0.03210174,0.4908
FIBRO,51146,31.20,0.03210150,0.4767
ILIAD,64466,24.76,0.03210027,0.4426
ATOKE,44230,36.08,0.03209436,0.4805
THOU,58227,27.40,0.03209233,0.4591
TOOM,49326,32.33,0.03207928,0.4741
BOGIE,59502,26.80,0.03207835,0.4616
BOOT,55588,28.69,0.03207610,0.4651
OATIEST,21862,72.94,0.03207553,0.5711
HEDGE,46622,34.20,0.03207320,0.4935
JEMBE,38503,41.41,0.03207201,0.5073
VASA,45671,34.91,0.03207109,0.4939
DUPE,50365,31.66,0.03206948,0.4734
FLIC,57309,27.82,0.03206751,0.4654
ELOGE,60985,26.14,0.03206552,0.4489
FERMI,42986,37.09,0.03206461,0.4906
PIANI,63215,25.22,0.03206304,0.4379
TINDERS,20675,77.10,0.03206111,0.5788
PYIN,45730,34.85,0.03205971,0.4870
NITRATED,21736,73.32,0.03205484,0.5492
APODE,45916,34.71,0.03205456,0.4784
DEID,51166,31.14,0.03204492,0.4677
RENEGADO,21773,73.13,0.03202789,0.5885
DESTAIN,19732,80.67,0.03201636,0.5929
MAXED,39036,40.76,0.03200085,0.5151
PEAT,47264,33.64,0.03198213,0.4718
FADGE,48028,33.11,0.03198162,0.4945
PINOTAGE,21325,74.54,0.03197084,0.5877
BEGEM,50322,31.58,0.03196861,0.4806
UNIS,42670,37.24,0.03196366,0.4914
DEME,47739,33.29,0.03196348,0.4795
AHIND,45708,34.76,0.03195887,0.4832
LATE,48925,32.47,0.03195135,0.4824
CAGY,46570,34.11,0.03194825,0.4953
VISIE,53870,29.48,0.03194763,0.4385
VOUCH,50932,31.18,0.03194284,0.4745
FIFI,55541,28.59,0.03194282,0.4603
EEVN,66653,23.83,0.03194156,0.4554
KITHE,39276,40.42,0.03193279,0.5017
OUTRANGE,23356,67.95,0.03191963,0.5616
PENI,50721,31.29,0.03191865,0.4620
OPIUM,53791,29.50,0.03191651,0.4693
OSTEOID,21698,73.12,0.03191241,0.5978
GYOZA,31190,50.87,0.03191175,0.5514
SLINTER,21155,74.97,0.03189968,0.5653
COVIN,59027,26.87,0.03189749,0.4448
MUID,58299,27.20,0.03189258,0.4546
AEROBES,21305,74.41,0.03188590,0.6075
UTERINE,24829,63.84,0.03188041,0.5386
KITED,42656,37.16,0.03187971,0.4933
GOATIEST,24857,63.76,0.03187609,0.5506
ESERINE,21604,73.35,0.03187528,0.5726
BOTE,48423,32.72,0.03186758,0.4676
IODINE,53122,29.82,0.03186730,0.4418
FUNGI,49847,31.78,0.03186645,0.4726
FOXIER,36211,43.75,0.03186488,0.5089
YERD,43183,36.67,0.03185410,0.4958
RONEO,69996,22.62,0.03184937,0.4137
GENOISE,21204,74.67,0.03184473,0.6081
ULVA,74620,21.21,0.03183620,0.4482
SAGENITE,20931,75.62,0.03183528,0.5643
NOSTRIL,21933,72.16,0.03183330,0.5784
EVEJAR,38615,40.98,0.03183186,0.4920
BOBA,47253,33.49,0.03183073,0.4919
ANORETIC,20309,77.91,0.03182612,0.5755
MOXIE,39346,40.21,0.03182600,0.4971
PONY,45223,34.97,0.03181202,0.4991
FAYED,40628,38.92,0.03180623,0.5120
LEWD,51792,30.52,0.03179454,0.4770
SOLERET,21381,73.92,0.03178867,0.5819
PEED,47708,33.12,0.03178364,0.4810
LOOT,58241,27.13,0.03178264,0.4556
GERE,54441,29.02,0.03178171,0.4680
ENROOTS,21660,72.92,0.03176735,0.5753
UEYS,36755,42.97,0.03176530,0.5136
BATT,62677,25.20,0.03176470,0.4555
BOYG,48596,32.50,0.03176333,0.4928
ORIGANES,21363,73.90,0.03175472,0.5748
PONZU,37230,42.40,0.03175229,0.5172
EUTEXIA,27668,57.04,0.03174523,0.5359
RERAISE,21160,74.58,0.03174229,0.5666
DREK,45987,34.30,0.03173094,0.4804
IMPI,59514,26.50,0.03172419,0.4573
ETHERION,20128,78.35,0.03172199,0.5956
PTUI,61560,25.62,0.03172179,0.4464
NOWL,56151,28.08,0.03171491,0.4792
BHUT,53911,29.24,0.03171151,0.4763
FEEBS,34752,45.37,0.03171109,0.5314
OBTAINED,20794,75.80,0.03170333,0.6038
RENATURE,23098,68.21,0.03168945,0.5456
ANODISE,20276,77.68,0.03167819,0.5966
EUTAXIA,27276,57.73,0.03167404,0.5415
DEITIES,21630,72.80,0.03167253,0.5752
FURZE,34116,46.15,0.03166952,0.5293
ATWIXT,37280,42.23,0.03166926,0.5074
OBELIAS,21261,74.05,0.03166551,0.6037
EERY,48921,32.18,0.03166055,0.4616
ETUIS,33892,46.44,0.03165974,0.5111
PAND,56802,27.71,0.03165781,0.4677
ARID,48323,32.56,0.03164850,0.4760
CLY,62046,25.36,0.03164751,0.4819
DIAPENTE,20085,78.31,0.03163760,0.5957
JONES,33875,46.41,0.03162386,0.5133
PEEL,49921,31.49,0.03162384,0.4732
AGEUSIA,23547,66.76,0.03161756,0.5892
YOBS,31336,50.16,0.03161714,0.5352
FIRE,44853,35.04,0.03161422,0.4815
FIRK,45610,34.46,0.03161400,0.4898
ADRATES,20836,75.41,0.03160543,0.5855
UNAUS,33167,47.37,0.03160334,0.5203
MONILIAE,22590,69.55,0.03160012,0.5824
GUACO,64803,24.23,0.03158709,0.4461
EATH,43352,36.22,0.03158421,0.4853
PINT,58081,27.02,0.03156861,0.4552
TEEL,52454,29.91,0.03156008,0.4691
FERVID,47609,32.95,0.03155179,0.4602
TWOS,38469,40.77,0.03154795,0.5055
FRITH,45433,34.52,0.03154107,0.4814
GLIFT,61881,25.34,0.03154063,0.4539
ATTONES,21375,73.34,0.03153059,0.5759
EXUVIAE,28936,54.17,0.03152896,0.5433
UNJAM,45685,34.31,0.03152625,0.4864
IDEALISE,22112,70.86,0.03151426,0.5591
BOUT,60446,25.92,0.03151253,0.4493
ROT,82278,19.04,0.03150820,0.4615
EISH,44174,35.45,0.03150127,0.4771
CHEM,41321,37.90,0.03149986,0.4958
RANA,54143,28.92,0.03149748,0.4652
COZED,36183,43.25,0.03147860,0.5214
HIKE,42008,37.25,0.03147158,0.4902
LINE,53877,29.04,0.03146761,0.4625
DIALOGER,21281,73.51,0.03146490,0.5955
ODONATES,23194,67.43,0.03145949,0.5720
GOBY,45335,34.49,0.03145138,0.5047
TERRANE,22765,68.69,0.03145062,0.5437
THUG,52008,30.05,0.03143919,0.4745
APAID,52282,29.90,0.03143756,0.4671
ESKY,37119,42.10,0.03143533,0.5105
TESTIER,21182,73.77,0.03143069,0.5493
TIARAED,22329,69.97,0.03142620,0.5803
ADENINE,23270,67.13,0.03142067,0.5684
LAUREATE,24354,64.14,0.03141956,0.5564
LIMAX,36081,43.29,0.03141578,0.5210
FERNY,41147,37.96,0.03141413,0.5044
SPAW,32526,48.00,0.03140172,0.5291
STOW,33885,46.07,0.03139876,0.5277
CAMI,47190,33.08,0.03139826,0.4792
GANOF,44895,34.77,0.03139315,0.4837
XERUS,31578,49.42,0.03139152,0.5230
QUINCE,32978,47.30,0.03137419,0.4895
JHALA,36247,43.03,0.03137016,0.5281
HALFA,40358,38.64,0.03136568,0.5096
OXERS,27960,55.77,0.03136507,0.5432
VENAE,49330,31.61,0.03136292,0.4548
KAMA,41023,38.01,0.03136194,0.4993
DEBONAIR,20494,76.08,0.03135980,0.5999
GYVES,36180,43.08,0.03135252,0.5105
DOPY,42941,36.30,0.03135232,0.5077
DIQUAT,35030,44.49,0.03134945,0.4923
AWAITER,24092,64.69,0.03134645,0.5617
ASTONED,19693,79.14,0.03134577,0.6145
ZINEBS,28954,53.81,0.03133937,0.5408
AERODYNE,20225,77.03,0.03133764,0.6079
TUNICAE,23271,66.93,0.03132780,0.5666
LIND,71075,21.91,0.03131867,0.4480
TOURIE,51082,30.48,0.03131744,0.4421
RIM,70710,22.02,0.03131328,0.4520
ENTAILED,21232,73.32,0.03131252,0.5730
NONARIES,21785,71.43,0.03130119,0.5522
META,44780,34.75,0.03129900,0.4840
JOUST,34195,45.50,0.03129659,0.5280
NOUP,57180,27.21,0.03129629,0.4625
FAURD,48439,32.12,0.03129576,0.4849
BODHI,45179,34.44,0.03129345,0.4978
WORD,51529,30.19,0.03128886,0.4706
HALVA,48627,31.99,0.03128826,0.4796
ACT,63604,24.45,0.03128490,0.4612
IRRIGATE,21787,71.38,0.03127941,0.5624
AIGRETTE,21694,71.66,0.03127000,0.5560
INTERLAY,20477,75.92,0.03126947,0.5777
AUDITION,23168,67.09,0.03126485,0.5763
VINEWS,30645,50.72,0.03126360,0.5325
KURI,57573,26.98,0.03124880,0.4531
FILK,46819,33.17,0.03124115,0.4924
RESONATE,21396,72.59,0.03123952,0.5498
WOUND,53646,28.95,0.03123888,0.4760
YEVES,33432,46.46,0.03123852,0.5289
ZONURE,33830,45.91,0.03123671,0.4968
AHEAD,43901,35.37,0.03123387,0.4815
ANSATED,20386,76.17,0.03123275,0.6017
WAURS,32235,48.17,0.03123164,0.5256
ZELANT,33223,46.74,0.03123126,0.5036
FELON,50366,30.82,0.03122488,0.4727
DOUT,64149,24.19,0.03121607,0.4474
ANOINTED,21775,71.27,0.03121585,0.5682
EXES,36590,42.40,0.03120640,0.4984
POTE,44950,34.51,0.03120414,0.4707
HAWED,38531,40.26,0.03120235,0.5090
LINO,65202,23.79,0.03119781,0.4476
JUTTY,41344,37.51,0.03119475,0.4945
AUREOLED,23152,66.99,0.03119455,0.5793
ZOOIDS,28285,54.82,0.03118906,0.5477
FROTH,44248,35.04,0.03118560,0.4913
TWERK,44054,35.19,0.03118234,0.4870
VELUM,53142,29.16,0.03116392,0.4710
ORDAINER,21150,73.25,0.03116319,0.5798
EUCAINES,21894,70.76,0.03115981,0.5729
SEIZE,29732,52.10,0.03115939,0.5062
DERACINE,19686,78.69,0.03115786,0.5901
TARSEAL,21021,73.67,0.03114841,0.5740
PUD,63583,24.36,0.03114827,0.4689
GIFTS,33992,45.56,0.03114789,0.5177
FIGHT,46867,33.03,0.03113718,0.4788
AUFS,32477,47.66,0.03113644,0.5333
NANO,64112,24.14,0.03112554,0.4460
FOETIDER,20444,75.69,0.03112363,0.6004
HELO,50341,30.74,0.03112361,0.4711
HAURIENT,20553,75.29,0.03112317,0.5836
DIANOIA,28055,55.15,0.03111828,0.5438
GONOF,51408,30.09,0.03111562,0.4739
CLEM,57712,26.80,0.03111357,0.4585
PLOD,57649,26.83,0.03110890,0.4694
POIS,33473,46.21,0.03110846,0.5270
GHAT,49997,30.93,0.03110450,0.4775
BENITIER,21596,71.60,0.03110030,0.5571
NARDINE,22220,69.58,0.03109651,0.5614
EDITION,24034,64.33,0.03109587,0.5545
VENATION,22548,68.56,0.03109577,0.5708
DOCO,54817,28.20,0.03109301,0.4667
REQUIN,34518,44.78,0.03109100,0.4797
ETHERIAL,20276,76.23,0.03108982,0.5791
LIFE,54868,28.16,0.03108141,0.4554
SOVS,31507,49.04,0.03107719,0.5377
VARVE,53445,28.90,0.03106831,0.4537
NOOK,49573,31.16,0.03106518,0.4756
HEEDY,36595,42.20,0.03106113,0.5196
FLEWS,34708,44.49,0.03105922,0.5260
MONIE,50359,30.66,0.03105870,0.4647
GLIM,64754,23.84,0.03105484,0.4499
TALONED,22438,68.78,0.03104303,0.5905
ATTAINER,21467,71.87,0.03103324,0.5429
WHIR,50392,30.60,0.03101375,0.4746
TAVS,34564,44.61,0.03101324,0.5212
VIFDAS,32320,47.70,0.03100898,0.5271
ANTHERID,19128,80.58,0.03100079,0.6007
WANT,52698,29.25,0.03100029,0.4668
DOGIE,57766,26.68,0.03099818,0.4381
ANURETIC,20652,74.61,0.03099393,0.5697
BEWET,48885,31.52,0.03098903,0.4694
FELT,54814,28.11,0.03098722,0.4552
SHAG,35146,43.83,0.03098462,0.5218
INJERA,34058,45.23,0.03098267,0.4869
ICIER,72942,21.11,0.03097708,0.3987
AEROGEL,23416,65.77,0.03097646,0.5848
AEROFOIL,21033,73.22,0.03097495,0.5967
ERODENT,22392,68.77,0.03097479,0.5744
HONDA,42723,36.03,0.03096012,0.5081
ADZES,30556,50.37,0.03095618,0.5290
PICA,47573,32.34,0.03094234,0.4725
JINNS,36733,41.88,0.03093971,0.4956
SQUIRT,27840,55.25,0.03093621,0.5383
DANIO,60726,25.33,0.03093387,0.4437
RETINULA,21599,71.20,0.03093162,0.5599
ENTRIES,19875,77.36,0.03092756,0.5477
PIRN,61094,25.17,0.03092744,0.4523
MOER,45300,33.94,0.03092331,0.4692
HAOS,31466,48.86,0.03092241,0.5279
FAVELA,39078,39.34,0.03092132,0.4932
FAYNE,42640,36.05,0.03091418,0.5017
HAIK,37780,40.68,0.03091239,0.5100
FOLIE,53158,28.90,0.03090354,0.4608
DATURINE,20907,73.49,0.03090203,0.5788
ERAS,34284,44.81,0.03090127,0.5202
BOWS,35081,43.78,0.03089349,0.5225
KORO,47362,32.43,0.03089326,0.4763
GEUM,56654,27.10,0.03088307,0.4611
CITO,61841,24.82,0.03087393,0.4442
WEAR,46801,32.79,0.03086309,0.4709
MOTH,43395,35.36,0.03086040,0.4909
AVOURE,57488,26.69,0.03085837,0.4362
BOET,55037,27.86,0.03084666,0.4509
PENIE,53973,28.41,0.03084586,0.4450
POORI,60667,25.27,0.03083300,0.4435
SOWF,41261,37.15,0.03082922,0.5158
VIAL,56397,27.18,0.03082725,0.4586
RAWN,54348,28.19,0.03081961,0.4637
FAKIE,42135,36.36,0.03081538,0.4934
ROTATIVE,20407,75.07,0.03081412,0.5890
TENURIAL,21539,71.11,0.03080706,0.5557
COQUIS,30186,50.74,0.03080500,0.5351
BARP,51862,29.52,0.03079807,0.4696
BAFTS,31974,47.87,0.03078837,0.5317
MAZED,32246,47.46,0.03078413,0.5350
FROWY,39263,38.98,0.03077988,0.5136
FORELAIN,20610,74.24,0.03077697,0.5932
ERUVS,30990,49.37,0.03077449,0.5242
FOHNS,32074,47.70,0.03077152,0.5343
TOMO,52080,29.37,0.03076677,0.4589
DANG,59335,25.78,0.03076252,0.4580
OGEES,34300,44.58,0.03075305,0.5138
TAURINES,21386,71.48,0.03074840,0.5498
INSULAE,20786,73.54,0.03074613,0.5887
AURELIAS,22416,68.19,0.03074394,0.5505
VIDIOT,52619,29.04,0.03073915,0.4527
HETAIRA,20990,72.80,0.03073559,0.5768
NONI,63804,23.95,0.03073074,0.4443
DITTO,56826,26.88,0.03072863,0.4538
DATO,58325,26.19,0.03072511,0.4515
ANTIAIR,24317,62.82,0.03072421,0.5436
MOBEY,38860,39.31,0.03072362,0.5122
MAVIN,50497,30.25,0.03072073,0.4600
ANOTHER,20814,73.38,0.03071862,0.5860
BOXED,37184,41.07,0.03071789,0.5163
WELD,51171,29.84,0.03071652,0.4730
MEFF,45543,33.53,0.03071077,0.4975
GOETY,45291,33.71,0.03070733,0.4935
RATTLINE,22222,68.69,0.03070438,0.5429
NONIDEAL,21527,70.91,0.03070417,0.5865
DAMN,54308,28.10,0.03069782,0.4663
JAPAN,36755,41.52,0.03069780,0.5119
MIRZA,31090,49.08,0.03069321,0.5221
TRIUNES,20404,74.78,0.03069044,0.5764
FAVES,36141,42.22,0.03069038,0.5156
DHUTI,51245,29.77,0.03068472,0.4637
AFOUL,52365,29.13,0.03067859,0.4639
GAED,51589,29.56,0.03067652,0.4694
IRONWARE,20213,75.45,0.03067308,0.5929
DOER,46122,33.06,0.03067048,0.4765
CAGEY,42779,35.64,0.03067008,0.4972
SUM,34404,44.32,0.03066747,0.5258
LITH,49106,31.05,0.03066568,0.4701
LOITERER,22363,68.15,0.03065644,0.5496
KNOWE,39027,39.05,0.03065347,0.5091
BLIND,59068,25.80,0.03064782,0.4610
OATEN,58129,26.21,0.03064319,0.4192
FOLIATE,21943,69.42,0.03064118,0.5970
URDE,42861,35.52,0.03062380,0.4907
AIRWISE,20459,74.42,0.03062304,0.5929
TORSIVE,19161,79.44,0.03061708,0.5936
KOJIS,30276,50.27,0.03061266,0.5425
COOM,47558,31.99,0.03060493,0.4748
GRIESIE,21761,69.92,0.03060262,0.5783
RAINIER,24710,61.57,0.03059988,0.5250
NITERIES,21461,70.88,0.03059737,0.5361
WICK,44063,34.52,0.03059620,0.4918
AZANS,26935,56.47,0.03059232,0.5496
JEEING,36775,41.36,0.03058993,0.4876
REMANIE,21441,70.91,0.03058239,0.5722
COTIJA,37560,40.48,0.03057937,0.4867
LUD,82808,18.36,0.03057748,0.4541
YIRTH,41985,36.20,0.03056935,0.4783
WEARIES,19444,78.15,0.03056398,0.5970
HAVER,40918,37.13,0.03056253,0.4857
LOOM,50611,30.02,0.03056092,0.4704
JELLY,38426,39.54,0.03055937,0.5194
ANOESTRI,19263,78.86,0.03055493,0.5670
WAND,47402,32.04,0.03054656,0.4840
ONES,35154,43.20,0.03054272,0.5063
KINA,42436,35.78,0.03053699,0.4804
TIMONEER,20784,73.05,0.03053679,0.5735
ENDEAVOR,19579,77.54,0.03053661,0.6132
QUICK,32259,47.06,0.03053645,0.5203
BEPAT,47592,31.90,0.03053466,0.4675
BONZE,32850,46.21,0.03053200,0.5266
REGAINER,21264,71.37,0.03052578,0.5539
VITTAE,41164,36.86,0.03051971,0.4786
ASININE,20863,72.72,0.03051434,0.5786
FUMED,43598,34.80,0.03051410,0.4976
HULE,55656,27.26,0.03051245,0.4617
SHIVA,36915,41.09,0.03051191,0.5032
FART,48970,30.98,0.03051018,0.4691
TWEAK,37514,40.43,0.03050664,0.5084
ATTIRED,21277,71.26,0.03049779,0.5791
GOWN,54284,27.93,0.03049618,0.4717
RAISONNE,21124,71.77,0.03049473,0.5567
EFFS,31330,48.38,0.03048477,0.5299
MILF,49580,30.57,0.03048433,0.4820
NITROX,36696,41.30,0.03048127,0.4793
NOWAY,42650,35.53,0.03047791,0.5013
ORIOLES,21176,71.54,0.03047001,0.5831
SIRI,68498,22.11,0.03046138,0.4308
WRING,56922,26.60,0.03045098,0.4466
ORGY,46343,32.65,0.03043759,0.4855
ARIARIES,22106,68.44,0.03043187,0.5379
VITAL,57666,26.24,0.03043141,0.4572
HUMA,42714,35.41,0.03042226,0.4856
BYDE,43116,35.08,0.03042129,0.4967
YINCE,44289,34.14,0.03041665,0.4648
VIZORS,29570,51.14,0.03041554,0.5374
ERIGERON,21058,71.79,0.03040715,0.5671
INULASE,20820,72.59,0.03040052,0.6031
WINGY,41968,36.01,0.03039963,0.4903
GURU,86326,17.51,0.03039669,0.4337
HOWFS,29124,51.89,0.03039645,0.5427
OXLIP,37494,40.29,0.03038442,0.5062
VROUS,39289,38.45,0.03038344,0.4938
WHAM,40961,36.87,0.03037913,0.5074
NATURES,20171,74.87,0.03037706,0.5801
